id,keyword,experience_level_id,priority,match_type,is_active,created_at,updated_at
0123116b-7f20-41e3-a202-eb29d62c8c4a,Experienced,f4e0e33e-b8b2-4d9f-8216-29471f8e696f,1,contains,true,2025-07-31 02:05:49.653301+00,2025-07-31 02:05:49.653301+00
0879bd92-6cda-43a8-9af0-4ee776177363,Lead,f4e0e33e-b8b2-4d9f-8216-29471f8e696f,8,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
33059b64-5bdf-43eb-a69d-64fd1aff15de,New Grad,b2f46336-4c52-4267-b10e-68aeb4a86440,10,exact,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
39b260ba-74ea-4417-9364-8df344a082a3,Sneak peek,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,2,contains,true,2025-07-31 04:30:03.846282+00,2025-07-31 04:30:03.846282+00
40b875c9-6c5b-4d6e-81ed-4a4cce37d98f,Intern,b66f444e-5541-4d07-b9be-550e66a0bc72,8,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
42e2a18c-7218-44b3-99c0-46708239eaf1,Discovery,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,1,contains,true,2025-07-31 00:21:59.7519+00,2025-07-31 00:21:59.7519+00
47bf8d1d-3dbd-4dc3-8a9e-1b8ac1d23c4f,Manager,f4e0e33e-b8b2-4d9f-8216-29471f8e696f,1,contains,true,2025-07-31 00:24:46.350498+00,2025-07-31 00:24:46.350498+00
49aa06e2-01d5-4323-8255-3be138da1d11,Graduate,b2f46336-4c52-4267-b10e-68aeb4a86440,10,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
4cc47269-089e-4349-9d1d-06d070e0999c,Senior,f4e0e33e-b8b2-4d9f-8216-29471f8e696f,1,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
5872278f-0723-4418-84b8-29a044c80d91,FutureFocus,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,1,contains,true,2025-07-31 00:21:16.666659+00,2025-07-31 00:21:16.666659+00
6ed111ce-c560-40cf-baf4-33a5036e0910,Junior,b2f46336-4c52-4267-b10e-68aeb4a86440,9,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
a01cba95-22e1-4e6d-9ff0-55c5872b1753,Principal,f4e0e33e-b8b2-4d9f-8216-29471f8e696f,8,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
a2380017-a1b7-4154-a31c-21e41d3fd0f4,Launchpad,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,1,contains,true,2025-07-31 00:21:43.456008+00,2025-07-31 00:21:43.456008+00
b23185ee-e85c-4127-9c4b-7a72120208e7,INSIGHT,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,2,contains,true,2025-07-31 03:05:37.628893+00,2025-07-31 03:05:37.628893+00
ca2045e7-bc50-447d-b1b3-ce9135495894,Internship,b66f444e-5541-4d07-b9be-550e66a0bc72,10,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
ce97021e-8a5d-44f0-8ca4-4d55dd861e4b,Grad,b2f46336-4c52-4267-b10e-68aeb4a86440,10,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
d65d1589-2802-4f88-a816-43a22e5abb49,Summer,b66f444e-5541-4d07-b9be-550e66a0bc72,8,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
ecefd2e6-f16b-4aff-8e83-f0a019b5e77c,Discover,d02e7f38-97e7-4bd7-be09-b96da2a7aef3,2,contains,true,2025-07-31 03:05:20.341631+00,2025-07-31 03:05:20.341631+00
fb6238b8-9705-41bb-86d4-3509029dcc45,Associate,b2f46336-4c52-4267-b10e-68aeb4a86440,6,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
49aa06e2-01d5-4323-8255-3be138da1d12,Entry,b2f46336-4c52-4267-b10e-68aeb4a86440,10,contains,true,2025-07-30 23:05:35.659516+00,2025-07-30 23:05:35.659516+00
