id,name,slug,website,greenhouse_board_token,scraper_type,scraper_config,logo_filename
03629d57-0805-4363-9b04-95cc7fa00202,Five Rings Capital,five-rings-capital,https://fiverings.com/,fiveringsllc,greenhouse,{},fiveringslogo.jpeg
0429365c-9460-4ee5-bc0f-76cafd81e6d1,Flow Traders,flow-traders,https://www.flowtraders.com,flowtraders,greenhouse,{},flowlogo.jpeg
04ebef3b-f70f-45aa-ba4f-2e1d48ebd329,Optiver,optiver,https://optiver.com,optiverus,greenhouse,{},optiverlogo.jpeg
05a11235-96de-4dec-a711-8bd669680070,ACT Commodities,act-commodities,https://www.actcommodities.com/,,,{},actcommoditieslogo.jpeg
18626bf0-8546-4e4b-9c23-c8a54a8450a3,Qube Research & Technologies,qube-research-technologies,https://www.qube-rt.com/,quberesearchandtechnologies,greenhouse,{},
193cd322-1186-494d-83f6-3d37fc3da6cc,Geneva Trading,geneva-trading,https://www.genevatrading.com/,genevatrading,greenhouse,{},genevatradinglogo.jpeg
1947076e-5fb8-4694-b3cb-79e7ab9322c1,BCR,bcr,https://au.thebcr.com,,,{},bcrlogo.jpeg
1be1bb08-2b89-4bbf-9728-55d3878013df,Balyasny (BAM),balyasny-bam,https://bambusdev.my.site.com/s/,,,{},
1f2e7499-4d3e-49b5-86a0-f2a97a5f765b,Point72,point72,,point72,greenhouse,{},
2e837951-b219-4fde-88a3-e340e19e945d,IMC Trading,imc-trading,https://www.imc.com/ap/,imc,greenhouse,{},imclogo.jpeg
354e8828-6920-4f5f-bef7-7e740f729706,Maverick Derivatives,maverick-derivatives,https://maverickderivatives.com/,maverickderivatives,greenhouse,{},mavericklogo.jpeg
364982d7-7cbf-47f5-b610-e47ecfa4a07b,3Red Partners,3red-partners,https://www.3redpartners.com/,3redpartners,greenhouse,{},3redpartnerslogo.jpeg
3808f85d-8fe7-48b4-90cf-55f3e64f12ed,Citadel Securities,citadel-securities,https://www.citadelsecurities.com,,citadel_portal,"{""url"": ""https://www.citadelsecurities.com/careers/open-opportunities/""}",citadellogo.jpeg
396f3588-85a3-4f76-99aa-4d18b8dec3bc,All Options,all-options,,,greenhouse,{},
3a5aa87e-bd7f-45f8-babd-1d1c7705bb85,Liquid Capital Group,liquid-capital-group,https://www.linkedin.com/company/liquid-capital-group/?originalSubdomain=nl,,,{},liquidcapitallogo.jpeg
3cc369c5-fec9-4707-b01f-89b74f1ecbd1,VIRTU Financial,virtu-financial,https://www.virtu.com/,virtu,greenhouse,{},virtulogo.jpeg
3d60309b-a728-4352-bf24-9b093089b2f3,Jane Street,jane-street,https://www.janestreet.com,janestreet,greenhouse,{},janestreetlogo.jpeg
45d95dab-92b0-4680-a09a-71f859684a79,City Investment Solutions,city-investment-solutions,https://www.cityinvestmentsol.co.uk,,,{},cislogo.jpeg
47b52c65-6666-430d-8653-9e7206a7cbbe,Akuna Capital,akuna-capital,https://akunacapital.com/,akunacapital,greenhouse,{},akunacapitallogo.jpeg
48196128-0c1b-410d-a118-d3fa153cdd69,Tibra Capital,tibra-capital,https://www.tibra.com,,workable,"{""subdomain"": ""tibra-capital-1""}",tibralogo.jpeg
4a30cdb5-8f50-4ca3-a555-dcd891be2ed8,UTR8 Group,utr8-group,https://www.utr8-group.com/,,,{},utr8logo.jpeg
4a9ca40d-98d3-44c6-a263-1cab44990d47,Life Trading,life-trading,https://www.lifetrading.com.au,lifetrading,greenhouse,{},lifetradinglogo.webp
608231bb-2927-41d4-ae79-fab8beef7bce,Exponential Trading,exponential-trading,https://www.exponentialtrading.com.au/,,,{},exponentiallogo.jpeg
60a5844e-78cc-4ca9-9354-d3ec2395494c,Wolverine Trading,wolverine-trading,https://www.wolve.com/,,lever,"{""site"": ""wolve""}",wolverinelogo.jpeg
6905b4e9-7021-4312-959f-04a8f001516a,Quantlab,quantlab,https://www.quantlab.com/,,,{},quantlablogo.jpeg
735764b7-483c-43f7-81d7-3efd35f3211a,26 Degrees,26-degrees,https://www.26degreesglobalmarkets.com,,,{},26degreeslogo.jpeg
7386e92f-5fef-46f4-ace8-e736f43b5d2c,Mako Trading,mako-trading,https://www.mako.com,mako,greenhouse,{},makologo.jpeg
74a1aafb-633e-4909-986d-98ecc310d1ed,Belvedere Trading,belvedere-trading,https://www.belvederetrading.com/,,lever,"{""site"": ""belvederetrading""}",belvederetradinglogo.jpeg
7a93a2b5-a2b0-4d1d-b88d-e9a6e1914414,DV Trading,dv-trading,https://dvtrading.co/,dvtrading,greenhouse,{},dvtradinglogo.jpeg
7afb6c1c-73de-498a-af97-823f51e118e5,Hudson River Trading,hudson-river-trading,https://www.hudsonrivertrading.com/,wehrtyou,greenhouse,{},hrtlogo.jpeg
7e203fa7-a953-4d95-a076-cbf088ccbc10,Susquehanna International Group,susquehanna-international-group,https://sig.com,,,{},siglogo.jpeg
85253298-523e-45d5-b24b-a4a957d6d748,Jump Trading,jump-trading,https://www.jumptrading.com/,jumptrading,greenhouse,{},jumptradinglogo.jpeg
87baea54-3f0d-4430-ac8c-28741cfbd438,Da Vinci Trading,da-vinci-trading,https://davincitrading.com/,davinciderivatives,greenhouse,{},
88fb8146-34b7-4bb5-8140-748750e4c100,Eagle Seven,eagle-seven,https://www.eagleseven.com/,,workable,"{""subdomain"": ""eagle-seven""}",eaglesevenlogo.jpeg
